==========================================================
  Yasso07  Chain 3 / 5
  Run ID:  20260601_135824
  Started: 2026-06-01 19:46:10.94577
  Plots:   358 | Iter: 50000 | Cores: 11
==========================================================

Initial ll at best_x: -5200.527

[21:21:40]  eval 26400  |  ll:  -4874.976  |  4.61 eval/s  |  95.5 min  |  -Inf: 4
[21:22:22]  eval 26600  |  ll:  -4878.560  |  4.61 eval/s  |  96.2 min  |  -Inf: 4
[21:23:05]  eval 26800  |  ll: -20272.335  |  4.61 eval/s  |  96.9 min  |  -Inf: 4
[21:23:47]  eval 27000  |  ll:  -4972.829  |  4.61 eval/s  |  97.6 min  |  -Inf: 4
[21:24:29]  eval 27200  |  ll:  -4916.611  |  4.61 eval/s  |  98.3 min  |  -Inf: 4
[21:25:16]  eval 27400  |  ll:  -4886.106  |  4.61 eval/s  |  99.1 min  |  -Inf: 4
[21:25:59]  eval 27600  |  ll:  -5335.488  |  4.61 eval/s  |  99.8 min  |  -Inf: 4
[21:26:41]  eval 27800  |  ll:  -4891.390  |  4.61 eval/s  |  100.5 min  |  -Inf: 4
[21:27:24]  eval 28000  |  ll:  -5025.186  |  4.61 eval/s  |  101.2 min  |  -Inf: 4
[21:28:06]  eval 28200  |  ll:  -4877.662  |  4.61 eval/s  |  101.9 min  |  -Inf: 4
[21:28:53]  eval 28400  |  ll:  -6565.769  |  4.61 eval/s  |  102.7 min  |  -Inf: 4
[21:29:36]  eval 28600  |  ll:  -5176.544  |  4.61 eval/s  |  103.4 min  |  -Inf: 4
[21:30:19]  eval 28800  |  ll:  -4874.718  |  4.61 eval/s  |  104.1 min  |  -Inf: 4
[21:31:01]  eval 29000  |  ll:  -4880.123  |  4.61 eval/s  |  104.8 min  |  -Inf: 4
[21:31:45]  eval 29200  |  ll:  -5103.801  |  4.61 eval/s  |  105.6 min  |  -Inf: 4
[21:32:31]  eval 29400  |  ll:  -4981.630  |  4.61 eval/s  |  106.3 min  |  -Inf: 4
[21:33:13]  eval 29600  |  ll:  -4932.843  |  4.61 eval/s  |  107.0 min  |  -Inf: 4
[21:33:54]  eval 29800  |  ll:  -4899.143  |  4.61 eval/s  |  107.7 min  |  -Inf: 4
[21:34:35]  eval 30000  |  ll:  -4925.791  |  4.61 eval/s  |  108.4 min  |  -Inf: 4
[21:35:21]  eval 30200  |  ll:  -4928.910  |  4.61 eval/s  |  109.2 min  |  -Inf: 4
[21:36:03]  eval 30400  |  ll:  -5058.072  |  4.61 eval/s  |  109.9 min  |  -Inf: 4
[21:36:43]  eval 30600  |  ll:  -4863.967  |  4.61 eval/s  |  110.5 min  |  -Inf: 4
[21:37:24]  eval 30800  |  ll:  -4897.510  |  4.62 eval/s  |  111.2 min  |  -Inf: 4
[21:38:03]  eval 31000  |  ll:  -4952.173  |  4.62 eval/s  |  111.9 min  |  -Inf: 4
[21:38:47]  eval 31200  |  ll:  -4902.591  |  4.62 eval/s  |  112.6 min  |  -Inf: 4
[21:39:27]  eval 31400  |  ll:  -4886.985  |  4.62 eval/s  |  113.3 min  |  -Inf: 4
[21:40:07]  eval 31600  |  ll:  -5006.931  |  4.62 eval/s  |  113.9 min  |  -Inf: 4
[21:40:46]  eval 31800  |  ll: -303528.571  |  4.63 eval/s  |  114.6 min  |  -Inf: 4
[21:41:26]  eval 32000  |  ll:  -4885.838  |  4.63 eval/s  |  115.3 min  |  -Inf: 4
[21:42:10]  eval 32200  |  ll:  -4896.917  |  4.63 eval/s  |  116.0 min  |  -Inf: 4
[21:42:50]  eval 32400  |  ll:  -4873.396  |  4.63 eval/s  |  116.7 min  |  -Inf: 4
[21:43:29]  eval 32600  |  ll:  -5322.910  |  4.63 eval/s  |  117.3 min  |  -Inf: 4
[21:44:08]  eval 32800  |  ll:  -4864.267  |  4.63 eval/s  |  118.0 min  |  -Inf: 4
[21:44:50]  eval 33000  |  ll:  -4906.429  |  4.64 eval/s  |  118.7 min  |  -Inf: 4
[21:45:31]  eval 33200  |  ll:  -5101.508  |  4.64 eval/s  |  119.3 min  |  -Inf: 4
[21:46:11]  eval 33400  |  ll:  -4872.881  |  4.64 eval/s  |  120.0 min  |  -Inf: 4
[21:46:51]  eval 33600  |  ll:  -5058.859  |  4.64 eval/s  |  120.7 min  |  -Inf: 4
[21:47:31]  eval 33800  |  ll:  -4874.840  |  4.64 eval/s  |  121.3 min  |  -Inf: 4
[21:48:16]  eval 34000  |  ll:  -4984.262  |  4.64 eval/s  |  122.1 min  |  -Inf: 4
