"plot_id","x_KKJ","y_KKJ","x_ETRS","y_ETRS","lon_WGS84","lat_WGS84"
13413,3388960.86,6730479.249,388835.803973308,6727654.93782189,24.9655730291507,60.6691267025188
13452,3420941.426,6730096.543,420803.513621112,6727272.53855929,25.5505075340941,60.6733015403329
13473,3436949.834,6730492.555,436805.482000308,6727668.46752732,25.8431768435994,60.6797041910441
13474,3436937.387,6730886.227,436793.038134428,6728061.98114055,25.842822265018,60.6832346006551
13491,3452948.641,6729684.105,452797.858065577,6726860.41869143,26.136078074688,60.674657868344
13492,3452954.35,6730091.776,452803.562834746,6727267.92573768,26.13608442853,60.6783168632955
13493,3452968.849,6730485.111,452818.054136884,6727661.10259222,26.1362550598203,60.6818482466181
13494,3452967.245,6730881.581,452816.448901829,6728057.41310947,26.1361303038253,60.6854058602507
13511,3468946.098,6729676.508,468788.87996984,6726852.90056764,26.4287351016805,60.676158078534
13512,3468951.198,6730088.088,468793.975970125,6727264.31501565,26.4287629138299,60.6798521114422
13513,3468944.78,6730475.731,468787.558717789,6727651.80203898,26.4285837731555,60.6833304259057
13514,3468958.557,6730881.833,468801.328254489,6728057.74073203,26.4287712392563,60.6869759712475
13551,3500956.336,6729660.815,500786.2389472,6726837.36501641,27.0143910843896,60.67723581641
13552,3500952.956,6730082.043,500782.858323775,6727258.42349636,27.0143308871784,60.6810162285337
13571,3516940.119,6729683.591,516763.589552125,6726860.20702858,27.3068351446519,60.6770902979157
13572,3516936.002,6730086.836,516759.472315052,6727263.2897194,27.3067942294866,60.6807094316081
13573,3516951.025,6730480.29,516774.487421556,6727656.58544069,27.3071027337468,60.6842398915877
13574,3516937.144,6730893.087,516760.6100703,6728069.21624165,27.306883955895,60.6879451556605
13591,3532943.413,6729678.902,532760.442556514,6726855.5949932,27.5996212045874,60.6760583486321
13592,3532966.791,6730073.033,532783.809300252,6727249.5674593,27.6001147124613,60.6795934585596
13593,3532947.626,6730489.369,532764.650064432,6727665.73578841,27.5998335574506,60.683331323026
13611,3548951.006,6729686.356,548761.591898937,6726863.12089846,27.8924605871683,60.6744950327748
13612,3548951.782,6730082.65,548762.365734754,6727259.25536644,27.8925732170403,60.6780511376609
13613,3548947.704,6730477.361,548758.287532535,6727653.80744913,27.8925966702152,60.6815936267978
13614,3548955.269,6730865.271,548765.847675573,6728041.56132418,27.8928314920651,60.6850736653559
15191,3212950.673,6745687.686,212896.243443944,6742856.41541692,21.7344710975721,60.7176412733936
15211,3228956.879,6745686.801,228896.024857516,6742855.60864036,22.0265758170037,60.7288151357676
15212,3228961.648,6746077.674,228900.790043855,6743246.32476019,22.0261210913951,60.7323131122495
15213,3228949.056,6746487.191,228888.2011091,6743655.6773118,22.0253233724515,60.7359659907872
15231,3244953.666,6745688.436,244886.390086114,6742857.3206092,22.3187334390917,60.739369957898
15232,3244951.395,6746079.328,244884.118103262,6743248.05566401,22.3181816488182,60.7428649158561
15233,3244970.178,6746481.751,244902.891612564,6743650.31719149,22.3179994138397,60.7464764678456
15234,3244952.983,6746887.219,244885.701551805,6744055.62232234,22.317155587115,60.7500922547291
15252,3260938.743,6746062.569,260865.047266943,6743231.3807533,22.6104360838479,60.7526152410626
15273,3276947.25,6746473.407,276867.12392806,6743642.13103023,22.9027875680684,60.765569010772
15274,3276952.899,6746886.636,276872.768668016,6744055.19410693,22.9024181692389,60.7692712591138
15291,3292960.155,6745683.015,292873.601667675,6742852.13356301,23.1967515566983,60.7671323365457
15292,3292946.347,6746099.75,292859.797209148,6743268.7011134,23.1960560710616,60.7708569545112
15312,3308955.902,6746065.846,308862.92171396,6743234.88761294,23.4892974598293,60.7785525158852
15313,3308952.176,6746487.811,308859.195186835,6743656.6830867,23.4888152015558,60.7823305822276
15354,3340952.527,6746886.964,340846.687718014,6744055.82873877,24.0750976585971,60.7999804615283
15372,3356955.933,6746085.547,356843.666567955,6743254.81004061,24.3692937171913,60.7988730987983
15393,3372938.862,6746486.015,372820.170002864,6743655.19305578,24.6623182764757,60.8078917792944
15394,3372954.453,6746890.168,372835.752818021,6744059.18368348,24.6623400418355,60.8115208350048
15412,3388946.747,6746076.702,388821.622336332,6743246.12048373,24.9564380582724,60.8090157427572
15413,3388975.143,6746469.398,388850.005061596,6743638.6587544,24.9567348093232,60.8125457050157
15414,3388951.34,6746876.252,388826.20970404,6744045.34908653,24.9560649412642,60.8161880599979
15431,3404952.448,6745684.863,404820.890543472,6742854.51473093,25.2505367028621,60.809651854881
15432,3404948.02,6746082.163,404816.462446437,6743251.65497272,25.2502607843593,60.8132147209996
